drg_cd,drg_desc,unweighted_ratio,estimated_total_charges,estimated_total_medicare_payments,total_discharges,weighted_ratio,difference,unweighted_rank,weighted_rank,rank_change
180,RESPIRATORY NEOPLASMS WITH MCC,6.358237716181797,766080770.999074,119873447.9999235,8157,6.390746105839576,-0.03250838965777891,235.0,201.0,34.0
407,"PANCREAS, LIVER AND SHUNT PROCEDURES WITHOUT CC/MCC",6.388216024173305,33821046.000178,5293122.00002,282,6.389621474821515,-0.0014054506482104046,230.0,202.0,28.0
519,BACK AND NECK PROCEDURES EXCEPT SPINAL FUSION WITH CC,6.55220192358095,382381344.000245,59869780.9999235,3713,6.386883960720244,0.16531796286070577,198.0,203.0,-5.0
183,MAJOR CHEST TRAUMA WITH MCC,6.6124353552759505,246888380.999853,38668483.9999762,2895,6.384744253227122,0.22769110204882814,186.0,204.0,-18.0
327,"STOMACH, ESOPHAGEAL AND DUODENAL PROCEDURES WITH CC",6.55226380390072,538020941.001281,84283181.999973,4003,6.383491086056212,0.16877271784450798,197.0,205.0,-8.0
275,CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION AND MCC,6.479854757987514,256888901.00017,40260023.000039,645,6.380744019940604,0.09911073804691028,215.0,206.0,9.0
388,GASTROINTESTINAL OBSTRUCTION WITH MCC,6.144875084908321,648468033.999333,101688527.0001442,8832,6.377002923824567,-0.232127838916246,272.0,207.0,65.0
956,"LIMB REATTACHMENT, HIP AND FEMUR PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA",6.622415468257726,414003259.000239,64933904.000059,1978,6.375764177060151,0.24665129119757534,184.0,208.0,-24.0
385,INFLAMMATORY BOWEL DISEASE WITH MCC,6.610124954509407,9837213.999962,1543791.9999850001,111,6.372111009810636,0.23801394469877124,187.0,209.0,-22.0
199,PNEUMOTHORAX WITH MCC,6.551168086586333,105208333.999847,16512456.9999966,1183,6.3714524131610855,0.17971567342524786,199.0,210.0,-11.0
690,KIDNEY AND URINARY TRACT INFECTIONS WITHOUT MCC,6.3300240551289475,3489011491.000838,547648469.9999341,91493,6.370896080475232,-0.040872025346284424,241.0,211.0,30.0
036,CAROTID ARTERY STENT PROCEDURES WITHOUT CC/MCC,6.695515946898708,413054263.999292,64883003.999922,4852,6.366139644209269,0.3293763026894396,172.0,212.0,-40.0
085,TRAUMATIC STUPOR AND COMA <1 HOUR WITH MCC,6.509125424687305,537375390.999745,84512692.0000086,4544,6.358517026054386,0.15060839863291875,206.0,213.0,-7.0
812,RED BLOOD CELL DISORDERS WITHOUT MCC,6.6864688454656624,1249485919.9993663,197012672.0000319,27448,6.342160163175514,0.34430868229014866,173.0,214.0,-41.0
235,CORONARY BYPASS WITHOUT CARDIAC CATHETERIZATION WITH MCC,6.788222743040718,2515111493.000866,396693468.000183,8759,6.340188825593937,0.44803391744678134,151.0,215.0,-64.0
880,ACUTE ADJUSTMENT REACTION AND PSYCHOSOCIAL DYSFUNCTION,6.503471795266961,49669820.9999593,7837552.0000045,1036,6.337415177587438,0.16605661767952284,210.0,216.0,-6.0
274,PERCUTANEOUS AND OTHER INTRACARDIAC PROCEDURES WITHOUT MCC,6.27043901959282,9123205339.008615,1439721311.001674,58174,6.336785646842459,-0.06634662724963825,251.0,217.0,34.0
229,OTHER CARDIOTHORACIC PROCEDURES WITHOUT MCC,6.353975713339634,655900760.998886,103761706.000102,3889,6.321221829161534,0.0327538841781001,236.0,218.0,18.0
243,PERMANENT CARDIAC PACEMAKER IMPLANT WITH CC,6.5618089400578,1628127154.000661,257573330.0003443,14876,6.32102381872566,0.2407851213321397,193.0,219.0,-26.0
472,CERVICAL SPINAL FUSION WITH CC,6.5335096162520445,1587313648.000641,251454462.000306,11118,6.312529256286211,0.2209803599658331,202.0,220.0,-18.0
607,MINOR SKIN DISORDERS WITHOUT MCC,6.108385172515534,37376430.999958,5923440.9999879,719,6.309918677342164,-0.20153350482663068,282.0,221.0,61.0
558,"TENDONITIS, MYOSITIS AND BURSITIS WITHOUT MCC",6.506641125921382,47761035.9999812,7589714.0000072,1087,6.292863736358958,0.21377738956242354,208.0,222.0,-14.0
432,CIRRHOSIS AND ALCOHOLIC HEPATITIS WITH MCC,6.117682127575986,1091329922.000625,173473236.0001558,10422,6.291056460142617,-0.17337433256663104,278.0,223.0,55.0
374,DIGESTIVE MALIGNANCY WITH MCC,5.980884613580345,633114549.99929,100718250.9998426,5486,6.285996268941162,-0.3051116553608164,301.0,224.0,77.0
428,MULTIPLE LEVEL COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION EXCEPT CERVICAL WITHOUT CC/,6.677043015606029,67928102.000129,10807148.999978,281,6.285478436567061,0.3915645790389677,174.0,225.0,-51.0
304,HYPERTENSION WITH MCC,6.463088095741371,278037064.999951,44242110.9999406,4774,6.284443909114652,0.17864418662671966,216.0,226.0,-10.0
947,SIGNS AND SYMPTOMS WITH MCC,6.080748194927014,101395613.999946,16146030.9999711,1417,6.279909533192863,-0.19916133826584925,286.0,227.0,59.0
178,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH CC,6.306823082510812,1208719010.999823,192503982.9999963,26447,6.2789298806344505,0.027893201876361573,244.0,228.0,16.0
808,MAJOR HEMATOLOGICAL AND IMMUNOLOGICAL DIAGNOSES EXCEPT SICKLE CELL CRISIS AND COAGULATIO,6.104113857294381,326124033.999554,51967147.999985,2337,6.275580757282429,-0.1714668999880482,284.0,229.0,55.0
920,COMPLICATIONS OF TREATMENT WITH CC,6.15227843515428,284073261.9993828,45301309.9999976,5288,6.270751596353347,-0.11847316119906726,269.0,230.0,39.0
277,CARDIAC DEFIBRILLATOR IMPLANT WITHOUT MCC,6.295705416820473,206665608.999882,32969279.999978002,826,6.268429550175797,0.027275866644676405,246.0,231.0,15.0
196,INTERSTITIAL LUNG DISEASE WITH MCC,5.9337564617693745,381917222.000047,60976383.000017,3667,6.263363013839974,-0.3296065520705991,311.0,232.0,79.0
034,CAROTID ARTERY STENT PROCEDURES WITH MCC,6.631665232006233,35773323.999967,5716549.000018,202,6.257853120799693,0.37381211120654,181.0,233.0,-52.0
308,CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITH MCC,6.352120552313054,2450746652.000155,391697574.0001061,42862,6.256731761120101,0.09538879119295274,237.0,234.0,3.0
191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH CC,6.511717699283532,457955042.9999219,73209066.9999883,11485,6.25544159714527,0.256276102138262,205.0,235.0,-30.0
742,UTERINE AND ADNEXA PROCEDURES FOR NON-MALIGNANCY WITH CC/MCC,6.347559445070798,46303598.999935,7411316.999999,452,6.247688366310772,0.09987107876002632,239.0,236.0,3.0
035,CAROTID ARTERY STENT PROCEDURES WITH CC,6.416659240469868,303858645.000247,48637341.000034,2811,6.247435380976822,0.1692238594930462,227.0,237.0,-10.0
372,MAJOR GASTROINTESTINAL DISORDERS AND PERITONEAL INFECTIONS WITH CC,6.237325462976609,448757669.000077,71843782.0,9250,6.246297960762659,-0.008972497786049694,255.0,238.0,17.0
300,PERIPHERAL VASCULAR DISORDERS WITH CC,6.212098020499653,656032545.0001386,105105982.9999659,12552,6.241628937530145,-0.02953091703049182,257.0,239.0,18.0
299,PERIPHERAL VASCULAR DISORDERS WITH MCC,6.062404740333953,705160421.0002182,113142738.9999372,8550,6.23248497635018,-0.17008023601622657,291.0,240.0,51.0
071,OTHER CEREBROVASCULAR DISORDERS WITH CC,6.51837566551508,533611330.999581,85748647.000015,10522,6.222970853400026,0.29540481211505387,203.0,241.0,-38.0
337,PERITONEAL ADHESIOLYSIS WITHOUT CC/MCC,6.766804527368833,8776736.000031,1410967.9999975,129,6.220365026029329,0.5464395013395036,159.0,242.0,-83.0
638,DIABETES WITH CC,6.447303876857633,1133263185.9994967,182282392.9999847,26317,6.217074328180406,0.23022954867722767,220.0,243.0,-23.0
683,RENAL FAILURE WITH CC,6.215226742777125,3217475168.9986553,518295675.0000708,78178,6.207798606458014,0.007428136319110656,256.0,244.0,12.0
253,OTHER VASCULAR PROCEDURES WITH CC,6.549536752876994,1403726827.000012,226369097.99983,10909,6.201053232986183,0.34848351989081117,200.0,245.0,-45.0
280,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH MCC",6.1064605309966105,6446286615.994472,1039637026.9995996,83841,6.200516573172181,-0.09405604217557073,283.0,246.0,37.0
406,"PANCREAS, LIVER AND SHUNT PROCEDURES WITH CC",6.76507438626991,489187201.000593,78942613.00003,3016,6.196744475640895,0.5683299106290143,161.0,247.0,-86.0
592,SKIN ULCERS WITH MCC,5.847954250374467,22671562.999999,3660279.999988,205,6.19394226673187,-0.3459880163574036,324.0,248.0,76.0
221,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION,6.744440653680879,37835730.999885,6120008.000003,175,6.182300905467192,0.5621397482136876,163.0,249.0,-86.0
643,ENDOCRINE DISORDERS WITH MCC,6.1112966573170375,536633566.999928,86851704.0001236,6565,6.178733891037582,-0.06743723372054422,279.0,250.0,29.0
271,OTHER MAJOR CARDIOVASCULAR PROCEDURES WITH CC,6.439697683877081,1271396210.999179,205854855.99986,7339,6.176177894001411,0.26351978987567026,223.0,251.0,-28.0
220,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION,6.619706620711017,2195374455.000233,355607332.999749,8116,6.1735916311989625,0.4461149895120542,185.0,252.0,-67.0
024,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITHOUT MC,6.5023852787634775,535919984.999147,86848767.999976,2804,6.170726394176313,0.3316588845871644,211.0,253.0,-42.0
264,OTHER CIRCULATORY SYSTEM O.R. PROCEDURES,5.952931282428456,524637383.00006,85029072.999981,2915,6.170094115928763,-0.21716283350030707,304.0,254.0,50.0
175,PULMONARY EMBOLISM WITH MCC OR ACUTE COR PULMONALE,6.250683928788608,1444269655.000344,234273648.9999899,21716,6.164883080812927,0.08580084797568155,253.0,255.0,-2.0
073,CRANIAL AND PERIPHERAL NERVE DISORDERS WITH MCC,6.181078312938893,85947978.999764,13945215.9999793,971,6.163259070342946,0.017819242595947138,262.0,256.0,6.0
